"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 05 20:28:25 MSK 2022","Wed Oct 05 20:28:31 MSK 2022","6531","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldNotBuyInPaymentWithExpiredMonth","shouldNotBuyInPaymentWithExpiredMonth()",""
"failed","Wed Oct 05 20:23:38 MSK 2022","Wed Oct 05 20:23:59 MSK 2022","20224","","ru.netology.tests.CreditTest","","ru.netology.tests.CreditTest","shouldNotBuyInCreditWithExpiredMonth","shouldNotBuyInCreditWithExpiredMonth()",""
"passed","Wed Oct 05 20:26:40 MSK 2022","Wed Oct 05 20:26:42 MSK 2022","2110","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldNotBuyInPaymentWithExpiredYear","shouldNotBuyInPaymentWithExpiredYear()",""
"failed","Wed Oct 05 20:26:44 MSK 2022","Wed Oct 05 20:26:51 MSK 2022","6327","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldNotBuyInPaymentWithAllEmptyFields","shouldNotBuyInPaymentWithAllEmptyFields()",""
"passed","Wed Oct 05 20:25:14 MSK 2022","Wed Oct 05 20:25:16 MSK 2022","2120","","ru.netology.tests.CreditTest","","ru.netology.tests.CreditTest","shouldNotBuyInCreditWithEmptyName","shouldNotBuyInCreditWithEmptyName()",""
"failed","Wed Oct 05 20:23:59 MSK 2022","Wed Oct 05 20:24:17 MSK 2022","18196","","ru.netology.tests.CreditTest","","ru.netology.tests.CreditTest","shouldNotBuyInCreditWithInvalidCardNumber","shouldNotBuyInCreditWithInvalidCardNumber()",""
"passed","Wed Oct 05 20:25:12 MSK 2022","Wed Oct 05 20:25:14 MSK 2022","2196","","ru.netology.tests.CreditTest","","ru.netology.tests.CreditTest","shouldNotBuyInCreditWithEmptyCvc","shouldNotBuyInCreditWithEmptyCvc()",""
"broken","Wed Oct 05 20:27:08 MSK 2022","Wed Oct 05 20:27:14 MSK 2022","6085","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldBuyInPayment","shouldBuyInPayment()",""
"failed","Wed Oct 05 20:28:10 MSK 2022","Wed Oct 05 20:28:16 MSK 2022","6481","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldNotBuyInPaymentWithEmptyCardNumber","shouldNotBuyInPaymentWithEmptyCardNumber()",""
"failed","Wed Oct 05 20:26:53 MSK 2022","Wed Oct 05 20:27:00 MSK 2022","6579","","ru.netology.tests.PaymentTest","","ru.netology.tests.PaymentTest","shouldNotBuyInPaymentWithOnlySurname","shouldNotBuyInPaymentWithOnlySurname()",""
"failed","Wed Oct 05 20:25:45 MSK 2022","Wed Oct 05 20:26:03 MSK 2022","18024","","ru.netology.tests.CreditTest","","ru.netology.tests.CreditTest","shouldNotBuyInCreditWithDeclinedCardNumber","shouldNotBuyInCreditWithDeclinedCardNumber()",""
